Component,Site,URL
Air Force,Westover Air Reserve Base,www.westover.afrc.af.mil
Air Force,Whiteman Air Force Base,www.whiteman.af.mil
Air Force,Wright-Patterson Air Force Base,www.wpafb.af.mil
Air Force,Yokota Air Base,www.yokota.af.mil
Air Force,Youngstown Air Reserve Station,www.youngstown.afrc.af.mil
Army,11th Airborne Division,11thairbornedivision.army.mil
Army,1st Theater Sustainment Command,www.1tsc.army.mil
Army,20th CBRNE,www.20cbrne.army.mil
Army,2nd Infantry Division (2ID) - Korea,www.2id.korea.army.mil
Army,41st Field Artillery Brigade,www.41fab.army.mil
Army,55th Combat Camera,www.55comcam.army.mil
Army,75th Innovations Command,innovation.army.mil
Army,AMEDD Virtual Library,medlinet.amedd.army.mil/
Army,Army Asymmetric Warfare Group,www.awg.army.mil
Army,Army Cyber Command,www.arcyber.army.mil
Army,Army Cyber Institute,cyber.army.mil/
Army,Army Europe,www.europeafrica.army.mil/
Army,Army Europe 10th Air & Missile Defense,http://www.10thaamdc.army.mil
Army,Army Europe 12th Combat Aviation Brigade,www.12cab.army.mil
Army,Army Europe 173rd Infantry Brigade Combat Team,www.skysoldiers.army.mil/
Army,Army Europe 19th Battlefield Coordination Detachment,www.19bcd.army.mil
Army,Army Europe 21st Theater Sustainment Command,www.21tsc.army.mil
Army,Army Europe 2nd Cavalry Regiment,www.2cr.army.mil
Army,Army Europe 2nd Theater Signal Brigade,www.2sigbde.army.mil
Army,Army Europe 405th Army Field Support Brigade,www.afsbeurope.army.mil
Army,Army Europe 409th Contracting Support Brigade,www.409csb.army.mil
Army,Army Europe 41st Field Artillery Brigade,www.41fab.army.mil
Army,Army Europe 7th Army Training Comand,www.7atc.army.mil
Army,Army Europe Band & Chorus,www.band.eur.army.mil
Army,Army Financial Management and Comptroller,www.asafm.army.mil
Army,Army Flight Operations Detachment,www.afod.eur.army.mil
Army,Army IG,ig.army.mil
Army,Army in Europe Library and Publishing,www.aepubs.eur.army.mil
Army,Army Material Command,www.amc.army.mil
Army,Army Medical Logistics Command,www.amlc.army.mil
Army,Army Medical Research Directorate-Georgia,mrdg.health.mil
Army,Army North Atlantic Regional Medical Command,www.nrmc.amedd.army.mil
Army,Army Pacific,www.usarpac.army.mil/
Army,Army Recovery Care Program,www.arcp.army.mil/
Army,Army Recruiting Command,recruiting.army.mil
Army,Army Science Board,asb.army.mil
Army,Army Sustainment Command,www.aschq.army.mil
Army,Army University Press,www.armyupress.army.mil
Army,ASC - U.S. Army Petroleum Center (USAPC),usapc.army.mil/
Army,ASC Packaging Storage and Containerization Center,www.pscc.army.mil
Army,Barquist Army Health Clinic,bahc.nrmc.amedd.army.mil
Army,Corpus Christi Army Depot,www.ccad.army.mil
Army,Cyber Defense Review,http://cyberdefensereview.army.mil
Army,Davison Army Airfield (DAAF),daaf-wx.army.mil
Army,First Army,www.first.army.mil/
Army,John F. Kennedy Special Warfare Center and School,www.swcs.mil
Army,Joint Base Lewis McChord Design Standards,www.jblmdesignstandards.army.mil
Army,Joint Program Executive Office for Armaments & Ammunition (JPEO AA),jpeoaa.army.mil/
Army,"Joint Program Executive Office for Chemical, Biological, Radiological and Nuclear Defense (JPEO)",www.jpeocbrnd.osd.mil
Army,Kirk U.S. Army Medical Health Clinic,kirk.tricare.mil/
Army,Letterkenny Army Depot,www.letterkenny.army.mil
Army,NCO Leadership Center of Excellence,www.ncolcoe.army.mil
Army,NCO World Campus,www.ncoworldwide.army.mil
Army,Office of the Deputy Assistant Secretary of the Army for Defense Exports and Cooperation,www.dasadec.army.mil/
Army,Program Executive Office Soldier,www.peosoldier.army.mil
Army,PS Magazine,www.psmagazine.army.mil/
Army,Public Health Command - Pacific,phcp.health.mil
Army,Regional Health Command Europe,mrc-europe.army.mil
Army,Rocky Mountain Arsenal,www.rma.army.mil
Army,Special Operations Recruiting Battalion SORB(A),www.goarmysof.army.mil
Army,Strength Maintenance Training Center,smtc.dodlive.mil
Army,Tobyhanna Army Depot,www.tobyhanna.army.mil
Army,U.S. Army Aviation and Missile Command,www.amcom.army.mil
Army,U.S. Army Central,www.usarcent.army.mil
Army,U.S. Army Combat Capabilities Development: Aviation and Missile Center,www.avmc.army.mil
Army,U.S. Army Financial Management Command,www.usafmcom.army.mil
Army,U.S. Army Japan,www.usarj.army.mil/
Army,U.S. ARMY MEDICAL DIRECTORATE - ARMED FORCES RESEARCH INSTITUTE of MEDICAL SCIENCES (USAMD-AFRIMS),afrims.health.mil/
Army,U.S. Army Nato,www.usanato.army.mil
Army,U.S. Army North,www.arnorth.army.mil
Army,U.S. Army Office of Business Transformation,www.obtportal.army.mil/
Army,U.S. Army Petroleum,usapc.army.mil
Army,U.S. Army Reserve,www.usar.army.mil/
Army,U.S. Army Reserve Strategic Communication/Warrior Citizen),www.armyreservewarriorcitizen.mil
Army,U.S. Army South,www.arsouth.army.mil
Army,U.S. Army Space and Missile Defense Command,www.smdc.army.mil
Army,U.S. Army Sustainment Command/PS Magazine,www.psmagazine.army.mil
Army,U.S. Military Entrance Processing Command,www.mepcom.army.mil
Army,Walter Reed Army Institute of Research (WRAIR),www.wrair.army.mil/
Army Corps of Engineers,Alaska District,www.poa.usace.army.mil/
Army Corps of Engineers,Albuquerque District,www.spa.usace.army.mil/
Army Corps of Engineers,Army Geospatial Center,www.agc.army.mil/
Army Corps of Engineers,Baltimore District,www.nab.usace.army.mil/
Army Corps of Engineers,Buffalo District,www.lrb.usace.army.mil/
Army Corps of Engineers,Charleston District,www.sac.usace.army.mil/
Army Corps of Engineers,Chicago District,www.lrc.usace.army.mil/
Army Corps of Engineers,Detroit District,www.lre.usace.army.mil/
Army Corps of Engineers,ERDC,www.erdc.usace.army.mil/
Army Corps of Engineers,Europe District,www.nau.usace.army.mil
Army Corps of Engineers,Far East District,www.pof.usace.army.mil/
Army Corps of Engineers,Fort Worth District,www.swf.usace.army.mil/
Army Corps of Engineers,Galveston District,www.swg.usace.army.mil/
Army Corps of Engineers,Great Lakes/Ohio River Division,www.lrd.usace.army.mil/
Army Corps of Engineers,Headquarters,www.usace.army.mil/
Army Corps of Engineers,Honolulu District,www.poh.usace.army.mil/
Army Corps of Engineers,Huntington District,www.lrh.usace.army.mil/
Army Corps of Engineers,Institute for Water Resources,www.iwr.usace.army.mil/
Army Corps of Engineers,"Institute for Water Resources, Risk Management Center",www.rmc.usace.army.mil
Army Corps of Engineers,Jacksonville District,www.saj.usace.army.mil/
Army Corps of Engineers,Japan Engineer District,www.poj.usace.army.mil/
Army Corps of Engineers,Kansas City District,www.nwk.usace.army.mil/
Army Corps of Engineers,Little Rock District,www.swl.usace.army.mil/
Army Corps of Engineers,Los Angeles District,www.spl.usace.army.mil/
Army Corps of Engineers,Louisville District,www.lrl.usace.army.mil/
Army Corps of Engineers,Memphis District,www.mvm.usace.army.mil/
Army Corps of Engineers,Middle East District,www.tam.usace.army.mil
Army Corps of Engineers,Mississippi Valley Division,www.mvd.usace.army.mil/
Army Corps of Engineers,Mobile District,www.sam.usace.army.mil/
Army Corps of Engineers,Nashville District,www.lrn.usace.army.mil/
Army Corps of Engineers,New England District,www.nae.usace.army.mil/
Army Corps of Engineers,New Orleans District,www.mvn.usace.army.mil/
Army Corps of Engineers,New York District,www.nan.usace.army.mil/
Army Corps of Engineers,Norfolk District,www.nao.usace.army.mil/
Army Corps of Engineers,North Atlantic Division,www.nad.usace.army.mil/
Army Corps of Engineers,Northwestern Division,www.nwd.usace.army.mil/
Army Corps of Engineers,Omaha District,www.nwo.usace.army.mil/
Army Corps of Engineers,Pacific Ocean Division,www.pod.usace.army.mil/
Army Corps of Engineers,Philadelphia District,www.nap.usace.army.mil/
Army Corps of Engineers,Pittsburgh District,www.lrp.usace.army.mil/
Army Corps of Engineers,Portland District,www.nwp.usace.army.mil/
Army Corps of Engineers,Rock Island District,www.mvr.usace.army.mil/
Army Corps of Engineers,Sacramento District,www.spk.usace.army.mil/
Army Corps of Engineers,San Francisco District,www.spn.usace.army.mil/
Army Corps of Engineers,Savannah District,www.sas.usace.army.mil/
Army Corps of Engineers,Seattle District,www.nws.usace.army.mil/
Army Corps of Engineers,South Atlantic Division,www.sad.usace.army.mil/
Army Corps of Engineers,South Pacific Division,www.spd.usace.army.mil/
Army Corps of Engineers,Southwestern Division,www.swd.usace.army.mil/
Army Corps of Engineers,St. Louis District,www.mvs.usace.army.mil/
Army Corps of Engineers,St. Paul District,www.mvp.usace.army.mil/
Army Corps of Engineers,Transatlantic Division,www.tad.usace.army.mil
Army Corps of Engineers,Tulsa District,www.swt.usace.army.mil/
Army Corps of Engineers,"U.S. Army Engineering and Support Center, Huntsville",www.hnc.usace.army.mil/
Army Corps of Engineers,USACE Publications,www.publications.usace.army.mil/
Army Corps of Engineers,Vicksburg District,www.mvk.usace.army.mil/
Army Corps of Engineers,Walla Walla District,www.nww.usace.army.mil/
Army Corps of Engineers,Wilmington District,www.saw.usace.army.mil/
Marine Corps,10th Marine Regiment, www.10thmarines.marines.mil
Marine Corps,11th Marine Expeditionary Unit, www.11thmeu.marines.mil
Marine Corps,12th Marine Corps District,www.12thmcd.marines.mil/
Marine Corps,13th Marine Expeditionary Unit,www.13thmeu.marines.mil
Marine Corps,15th Marine Expeditionary Unit,www.15thmeu.marines.mil
Marine Corps,1st Marine Aircraft Wing,www.1stmaw.marines.mil
Marine Corps,1st Marine Corps District,www.1stmcd.marines.mil/
Marine Corps,1st Marine Division, www.1stmardiv.marines.mil
Marine Corps,1st Marine Logistics Group,www.1stmlg.marines.mil
Marine Corps,22nd Marine Expeditionary Unit,www.22ndmeu.marines.mil
Marine Corps,26th Marine Expeditionary Unit,www.26thmeu.marines.mil
Marine Corps,2nd Marine Aircraft Wing,www.2ndmaw.marines.mil
Marine Corps,2nd Marine Division,www.2ndmardiv.marines.mil
Marine Corps,2nd Marine Expeditionary Brigade,www.2ndmeb.marines.mil
Marine Corps,2nd Marine Logistics Group,www.2ndmlg.marines.mil
Marine Corps,2nd Marine Regiment,www.2ndmarines.marines.mil
Marine Corps,31st Marine Expeditionary Unit,www.31stmeu.marines.mil
Marine Corps,3rd Marine Aircraft Wing,www.3rdmaw.marines.mil
Marine Corps,3rd Marine Division,www.3rdmardiv.marines.mil
Marine Corps,3rd Marine Expeditionary Brigade,www.3rdmeb.marines.mil
Marine Corps,3rd Marine Logistics Group,www.3rdmlg.marines.mil
Marine Corps,4th Marine Corps District,www.4thmcd.marines.mil/
Marine Corps,"5th Marine Expeditionary Brigade (Command Element, Marine Forces Central Command (Forward) )'",www.tf515.marines.mil/
Marine Corps,6th Marine Corps District,www.6thmcd.marines.mil
Marine Corps,6th Marine Regiment,www.6thmarines.marines.mil
Marine Corps,8th Marine Corps District,www.8thmcd.marines.mil/
Marine Corps,8th Marine Regiment,www.8thmarines.marines.mil
Marine Corps,9th Marine Corps District,http://www.9thmcd.marines.mil
Marine Corps,Administration and Resource Management,www.ar.marines.mil/
Marine Corps,Assistant Commandant of the Marine Corps,www.acmc.marines.mil/
Marine Corps,Chemical Biological Incident Response Force,www.cbirf.marines.mil
Marine Corps,Combined Arms Training Center Camp Fuji,www.fuji.marines.mil
Marine Corps,Commandant of the Marine Corps,www.cmc.marines.mil/
Marine Corps,Communication Directorate,www.cd.marines.mil/
Marine Corps,Community of Interest,www.marforres.marines.mil/Major-Subordinate-Commands/Force-Headquarters-Group/Deployment-Processing-Cmd-Reserve-Suppt-Unit-East/
Marine Corps,Deployment Processing Command-East,www.hqmc.marines.mil/dmcs
Marine Corps,Director of the Marine Corps Staff,www.cd.marines.mil/
Marine Corps,Expeditionary Energy Office,www.hqmc.marines.mil/e2o/
Marine Corps,Field Medical Training Battalion-East,www.trngcmd.marines.mil/Units/South-Atlantic/FMTB-E/
Marine Corps,Field Medical Training Battalion-West,www.trngcmd.marines.mil/Units/West/FMTB-W/
Marine Corps,Headquarters Marine Corps,www.hqmc.marines.mil
Marine Corps,HUMAN RESOURCES AND ORGANIZATIONAL MANAGEMENT BRANCH (ARH),www.hrom.marines.mil/
Marine Corps,I Marine Expeditionary Force,www.imef.marines.mil/
Marine Corps,II Marine Expeditionary Force,www.iimef.marines.mil/
Marine Corps,III Marine Expeditionary Force,www.iiimef.marines.mil/
Marine Corps,Inspector General of the Marine Corps,www.igmc.marines.mil/
Marine Corps,Installations and Logistics,www.iandl.marines.mil/
Marine Corps,Intelligence,www.hqmc.marines.mil/intelligence
Marine Corps,Law Enforcement,www.lawenforcement.marines.mil/
Marine Corps,Marine Air Control Group 28,www.macg28.marines.mil/
Marine Corps,Marine Aircraft Group 14,http://www.mag14.marines.mil/
Marine Corps,Marine Aircraft Group 26,www.mag26.marines.mil/
Marine Corps,Marine Aircraft Group 29,http://www.mag29.marines.mil/
Marine Corps,Marine Aircraft Group 31,www.mag31.marines.mil/
Marine Corps,Marine Aviation,www.aviation.marines.mil/
Marine Corps,Marine Barracks,www.barracks.marines.mil/
Marine Corps,Marine Corps Air Facility Quantico,www.quantico.marines.mil/mcaf
Marine Corps,Marine Corps Air Ground Combat Center Twenty-nine Palms,www.29palms.marines.mil/
Marine Corps,Marine Corps Air Station Beaufort,www.beaufort.marines.mil/
Marine Corps,Marine Corps Air Station Camp Pendleton,https//www.mcaspendleton.marines.mil/
Marine Corps,Marine Corps Air Station Cherry Point,www.cherrypoint.marines.mil/
Marine Corps,Marine Corps Air Station Futenma,www.mcasfutenma.marines.mil/
Marine Corps,Marine Corps Air Station Iwakuni,www.mcasiwakuni.marines.mil/
Marine Corps,Marine Corps Air Station Iwakuni-Japanese,www.mcasiwakunijp.marines.mil/
Marine Corps,Marine Corps Air Station Miramar,www.miramar.marines.mil/
Marine Corps,Marine Corps Air Station Miramar-EMS,www.miramar-ems.marines.mil/
Marine Corps,Marine Corps Air Station New River,https//www.newriver.marines.mil/
Marine Corps,Marine Corps Air Station Yuma,www.mcasyuma.marines.mil/
Marine Corps,Marine Corps Base Camp Blaz,www.mcbblaz.marines.mil/
Marine Corps,Marine Corps Base Camp Butler,www.mcbbutler.marines.mil/
Marine Corps,Marine Corps Base Camp Lejeune,www.lejeune.marines.mil/
Marine Corps,Marine Corps Base Camp Pendleton,www.pendleton.marines.mil/
Marine Corps,Marine Corps Base Hawaii,www.mcbhawaii.marines.mil/
Marine Corps,Marine Corps Base Quantico,www.quantico.marines.mil/
Marine Corps,Marine Corps Blount Island Command,www.bic.marines.mil/
Marine Corps,Marine Corps Combat Development Command,www.cdi.marines.mil/
Marine Corps,Marine Corps Combat Service Support School,www.trngcmd.marines.mil/Units/South-Atlantic/MCCSSS/
Marine Corps,Marine Corps Defense Services Organization,www.hqmc.marines.mil/dso
Marine Corps,Marine Corps Engineer School,www.trngcmd.marines.mil/Units/South-Atlantic/MCES/
Marine Corps,Marine Corps Forces Central Command,www.marcent.marines.mil/
Marine Corps,Marine Corps Forces Europe/Africa,www.marforeur.marines.mil/
Marine Corps,Marine Corps Forces Reserves,www.marforres.marines.mil/
Marine Corps,Marine Corps Forces South,www.marforsouth.marines.mil/
Marine Corps,Marine Corps Forces Special Operations Command,www.marsoc.marines.mil/
Marine Corps,Marine Corps Helicopter Squadron One,www.hqmc.marines.mil/hmx-1
Marine Corps,"Marine Corps Installations Command, MCICOM",www.mcicom.marines.mil/
Marine Corps,Marine Corps Installations East,www.mcieast.marines.mil/
Marine Corps,Marine Corps Installations Pacific,www.mcipac.marines.mil/
Marine Corps,Marine Corps Installations Pacific (MCIPAC) Communication Strategy and Operations Official Japanese Website,www.japan.marines.mil/
Marine Corps,Marine Corps Installations West,www.mciwest.marines.mil/
Marine Corps,Marine Corps Junior ROTC Training and Education Command,www.mcjrotc.marines.mil/
Marine Corps,Marine Corps Logistics Base Albany,www.albany.marines.mil/
Marine Corps,Marine Corps Logistics Base Barstow,www.mclbbarstow.marines.mil/
Marine Corps,Marine Corps Logistics Command,www.logcom.marines.mil/
Marine Corps,Marine Corps Mountain Warfare Training Center,www.29palms.marines.mil/mcmwtc
Marine Corps,Marine Corps Recruit Depot Parris Island,www.mcrdpi.marines.mil/
Marine Corps,"Marine Corps Recruit Depot, San Diego",www.mcrdsd.marines.mil/
Marine Corps,Marine Corps Recruiting Command,www.mcrc.marines.mil/
Marine Corps,Marine Corps Security Force Regiment,www.mcsfr.marines.mil/
Marine Corps,Marine Corps Support Facility New Orleans,www.mcsf-nola.marines.mil/
Marine Corps,Marine Corps Systems Command,www.marcorsyscom.marines.mil/
Marine Corps,Marine Corps Tactical Systems Support Activity,www.marcorsyscom.marines.mil/mctssa
Marine Corps,Marine Corps Training and Education Command,www.tecom.marines.mil/
Marine Corps,Marine Corps Warfighting Laboratory,www.mcwl.marines.mil/
Marine Corps,Marine Forces Command,www.marforcom.marines.mil/
Marine Corps,Marine Music,www.music.marines.mil/
Marine Corps,"Naval Amphibious Force, TF 51-5th Marine Expeditionary Brigade",www.tf515.marines.mil/
Marine Corps,Okinawa Marines,www.okinawa.marines.mil/
Marine Corps,"Plans, Policies and Operations",www.hqmc.marines.mil/ppo
Marine Corps,Program Executive Officer Land Systems,www.peols.marines.mil
Marine Corps,Programs and Resources,www.hqmc.marines.mil/pandr
Marine Corps,Ready Marine Corps,www.ready.marines.mil/
Marine Corps,Safety,www.safety.marines.mil/
Marine Corps,School of Infantry-East,www.trngcmd.marines.mil/Units/South-Atlantic/SOI-E/
Marine Corps,School of Infantry-West,www.trngcmd.marines.mil/Units/West/SOI-W/
Marine Corps,Sergeant Major of the Marine Corps,www.smmc.marines.mil/
Marine Corps,Staff Judge Advocate,www.hqmc.marines.mil/sja
Marine Corps,The Official United States Marine Corps Public Website,http://www.marines.mil/
Marine Corps,The United States Marine Band,www.marineband.marines.mil/
Marine Corps,The United States Marine Drum & Bugle Corps,www.drumcorps.marines.mil/
Marine Corps,Train the Trainer School,www.trngcmd.marines.mil/Units/South-Atlantic/T3S/
Marine Corps,Training Command,www.trngcmd.marines.mil/
Marine Corps,U.S. Marine Corps Combat Camera,www.comcam.marines.mil/
Marine Corps,U.S. Marine Corps Fitness,www.fitness.marines.mil/
Marine Corps,U.S. Marine Corps Forces Cyberspace Command,www.marforcyber.marines.mil/
Marine Corps,"U.S. Marine Corps Forces, Korea",www.marfork.marines.mil/
Marine Corps,"U.S. Marine Corps Forces, Pacific",www.marforpac.marines.mil/
Marine Corps,U.S. Marine Corps University,www.usmcu.edu/
Marine Corps,Wounded Warrior Regiment,www.woundedwarrior.marines.mil/
Marine Corps,www.24thmeu.marines.mil,www.24thmeu.marines.mil
Navy,All Hands Magazine of the U.S. Navy,allhands.navy.mil
Navy,Amphibious Force 7th Fleet,www.amphib7flt.navy.mil
Navy,Base Realignment and Closure (BRAC) Program Management Office,www.bracpmo.navy.mil/
Navy,BUPERS/Navy Personnel Command,www.mynavyhr.navy.mil
Navy,Bureau of Medicine & Surgery,www.med.navy.mil
Navy,Bureau of Naval Personnel/Navy Personnel Command,www.mynavyhr.navy.mil
Navy,Carrier Air Wing 5 (CVW-5),www.cvw5.navy.mil
Navy,CNIC Fleet and Family Readiness,ffr.cnic.navy.mil
Navy,Command Carrier Strike Group Fifteen,www.ccsg15.navy.mil
Navy,Command Submarine Force Pacific Fleet,www.csp.navy.mil
Navy,"Commandant, Naval District Washington",ndw.cnic.navy.mil
Navy,"Commander Logistics Group, Western Pacific",www.clwp.navy.mil
Navy,Commander U.S. 7th Fleet,www.c7f.navy.mil
Navy,"Commander, Carrier Strike Group 4",www.csg4.usff.navy.mil
Navy,"Commander, Joint Region Marianas",jrm.cnic.navy.mil
Navy,"Commander, Naval Information Forces",www.navifor.usff.navy.mil
Navy,"Commander, Naval Meteorology and Oceanography Command",www.cnmoc.usff.navy.mil
Navy,"Commander, Naval Surface Force Atlantic",www.surflant.usff.navy.mil
Navy,"Commander, Naval Surface Force, U.S. Pacific Fleet",www.surfpac.navy.mil
Navy,"Commander, Navy Expeditionary Combat Command",www.necc.usff.navy.mil
Navy,"Commander, Navy Installations Command (CNIC)",www.cnic.navy.mil
Navy,"Commander, Navy Region Europe, Africa, Central",cnreurafcent.cnic.navy.mil
Navy,"Commander, Navy Region Hawaii",cnrh.cnic.navy.mil
Navy,"Commander, Navy Region Mid-Atlantic",cnrma.cnic.navy.mil
Navy,"Commander, Navy Region Northwest",cnrnw.cnic.navy.mil
Navy,"Commander, Navy Region Southeast",cnrse.cnic.navy.mil
Navy,"Commander, Navy Region Southwest",cnrsw.cnic.navy.mil
Navy,"Commander, Navy Region, Japan",cnrj.cnic.navy.mil
Navy,"Commander, Navy Region, Korea",cnrk.cnic.navy.mil
Navy,"Commander, Patrol and Reconnaissance Wing One",www.cprw1.navy.mil
Navy,"Commander, U.S. 2nd Fleet",www.c2f.usff.navy.mil/
Navy,"Commander, U.S. 3rd Fleet",www.c3f.navy.mil
Navy,"Commander, U.S. Pacific Fleet",www.cpf.navy.mil
Navy,Expeditionary Warfare Training Group,www.ewtgpac.navy.mil
Navy,Fleet and Family Support Program,www.ffsp.navy.mil
Navy,Fleet Cyber Command/U.S. Tenth Fleet,www.fcc.navy.mil
Navy,Fleet Readiness Center South East (FRCSE),frcse.navair.navy.mil
Navy,Fleet Readiness Center Southwest,frcsw.navair.navy.mil
Navy,LCPO for U.S. Naval Forces Europe-Africa/U.S. 6th Fleet,www.c6f.navy.mil
Navy,National Maritime Intelligence Office,http://nmio.ise.gov
Navy,Naval Air Force U.S. Atlantic Fleet,www.airlant.usff.navy.mil
Navy,"Naval Air Force, U.S. Pacific Fleet",www.airpac.navy.mil
Navy,Naval Aviation News,navalaviationnews.navylive.dodlive.mil/
Navy,Naval Criminal Investigative Service (NCIS),www.ncis.navy.mil
Navy,Naval Education and Training Command,www.netc.navy.mil
Navy,Naval Facilities Engineering Systems Command - Atlantic,atlantic.navfac.navy.mil
Navy,Naval Facilities Engineering Systems Command - Engineering and Expeditionary Warfare Center,exwc.navfac.navy.mil
Navy,Naval Facilities Engineering Systems Command - Navy Crane Center,ncc.navfac.navy.mil
Navy,Naval Facilities Engineering Systems Command - Pacific,pacific.navfac.navy.mil
Navy,Naval Facilities Engineering Systems Command (NAVFAC),www.navfac.navy.mil/
Navy,Naval Safety Center,navalsafetycenter.navy.mil
Navy,NAVAL Sea Systems Command,www.navsea.navy.mil
Navy,Naval Special Warfare Command,www.nsw.navy.mil
Navy,Naval Supply Corps Newsletter,scnewsltr.dodlive.mil
Navy,Naval Supply Systems Command,www.navsup.navy.mil/
Navy,Navy Education and Training Command (NETC),www.netc.navy.mil
Navy,"Navy Education and Training Command (NETC), Bootcamp",www.bootcamp.navy.mil/
Navy,Navy JAG,jag.navylive.dodlive.mil
Navy,Navy Office of Community Outreach,outreach.navy.mil
Navy,Navy Recruiting Command,http://www.cnrc.navy.mil/
Navy,Navy Reserve Forces Command (RESFOR),www.navyreserve.navy.mil
Navy,Navy Warfare Development Command,www.nwdc.usff.navy.mil
Navy,Office of Naval Intelligence,www.oni.navy.mil
Navy,Performance To Plan,p2p.navy.mil
Navy,President Board of Inspection and Survey,www.insurv.usff.navy.mil
Navy,Ready Navy,www.ready.navy.mil
Navy,SeaBee Magazine,seabeemagazine.navylive.dodlive.mil
Navy,"SeaPort (Harnessing Power, Navigating Change",www.seaport.navy.mil
Navy,Submarine Force U.S. Atlantic Fleet,www.sublant.usff.navy.mil
Navy,"Tactical Training Group, Pacific",www.ttgp.navy.mil
Navy,U.S. Fleet Forces,www.usff.navy.mil
Navy,U.S. Military Sealift Command,www.msc.usff.navy.mil
Navy,U.S. National Environment Agency,www.nepa.navy.mil
Navy,U.S. Naval Community College,www.usncc.edu
Navy,U.S. Naval Forces Central Command,www.cusnc.navy.mil
Navy,U.S. Naval Forces Southern Command / U.S. Fourth Fleet,www.fourthfleet.navy.mil
Navy,U.S. Naval Research Laboratory,www.nrl.navy.mil
Navy,"U.S. Naval Ship Repair Facility, Japan Regional Maintenance Center",www.srf.navy.mil
Navy,U.S. Navy,www.navy.mil
Navy,U.S. Navy History Blog,usnhistory.navylive.dodlive.mil
Navy,U.S. Navy Reserve,www.navyreserve.navy.mil
Navy,U.S. Pacific Fleet,www.airpac.navy.mil
Coast Guard,Atlantic Area,www.atlanticarea.uscg.mil
Coast Guard,Deputy Commandant for Mission Support,www.dcms.uscg.mil
Coast Guard,Deputy Commandant for Operations,www.dco.uscg.mil
Coast Guard,Forcecom,www.forcecom.uscg.mil
Coast Guard,History,www.history.uscg.mil
Coast Guard,MyCG,www.mycg.uscg.mil/
Coast Guard,MyCG,www.mycg.uscg.mil
Coast Guard,National Coast Guard Museum,www.ncgm.uscg.mil
Coast Guard,News,www.news.uscg.mil
Coast Guard,Pacific Area,www.pacificarea.uscg.mil
Coast Guard,Reserve,www.reserve.uscg.mil
Coast Guard,United States Coast Guard,www.uscg.mil
National Guard,Alabama National Guard,al.ng.mil/
National Guard,Alaska National Guard,ak.ng.mil
National Guard,Arkansas National Guard,arkansas.nationalguard.mil
National Guard,Army National Guard,www.army.nationalguard.mil
National Guard,Atterbury Muscatatuck,www.atterburymuscatatuck.in.ng.mil
National Guard,Colorado National Guard,co.ng.mil
National Guard,Connecticut National Guard,ct.ng.mil/
National Guard,D.C. National Guard,dc.ng.mil
National Guard,Delaware National Guard,www.de.ng.mil
National Guard,Fort Indiantown Gap,www.ftig.ng.mil
National Guard,Georgia National Guard,ga.ng.mil/
National Guard,Guam National Guard,www.gu.ng.mil
National Guard,Illinois National Guard,www.il.ngb.army.mil
National Guard,Indiana National Guard,www.in.ng.mil
National Guard,Kentucky Guard,ky.ng.mil
National Guard,Maine National Guard,www.me.ngb.army.mil
National Guard,Massachusetts Army National Guard,campedwards.ng.mil
National Guard,Michigan National Guard,minationalguard.dodlive.mil/
National Guard,Missouri National Guard,www.moguard.ngb.mil
National Guard,National Guard,www.nationalguard.mil/
National Guard,National Guard Bureau Publications & Forms Library,www.ngbpmc.ng.mil/
National Guard,New Hampshire National Guard,nh.ng.mil
National Guard,Oklahoma National Guard,ok.ng.mil
National Guard,Pennsylvania National Guard,www.pa.ng.mil
National Guard,Rhode Island National Guard,ri.ng.mil
National Guard,South Carolina National Guard,www.scguard.ng.mil
National Guard,Utah National Guard,ut.ng.mil
National Guard,Vermont National Guard,http://vt.public.ng.mil
National Guard,Vermont National Guard Family Programs,www.ngfamily.vt.gov
National Guard,Virgin Islands National Guard,vi.ng.mil
National Guard,Virginia National Guard,va.ng.mil
National Guard,West Virginia National Guard,www.wv.ng.mil/
Space Force,Buckley Space Force Base,www.buckley.spaceforce.mil/
Space Force,Los Angeles Space Force Base,www.losangeles.spaceforce.mil/
Space Force,Patrick Space Force Base/Space Launch Delta 45,www.patrick.spaceforce.mil/
Space Force,Peterson Space Force Base,www.peterson.spaceforce.mil/
Space Force,Schriever Space Force Base,www.schriever.spaceforce.mil/
Space Force,Space Operations Command (SPOC),www.spoc.spaceforce.mil
Space Force,Space Systems Command,www.ssc.spaceforce.mil
Space Force,Space Training ad Readiness Command (STARCOM),www.starcom.spaceforce.mil
Space Force,United States Space Force,www.spaceforce.mil
Space Force,Vandenberg Space Force Base,www.vandenberg.spaceforce.mil/
Defense Health Agency,10th Medical Group - Air Force Academy,airforceacademy.tricare.mil
Defense Health Agency,11th Medical Squadron - Joint Base Anacostia-Bolling,AnacostiaBolling.tricare.mil
Defense Health Agency,14th Medical Group - Columbus Air Force Base,Columbus.tricare.mil
Defense Health Agency,17th Medical Group - Goodfellow Air Force Base,goodfellow.tricare.mil
Defense Health Agency,18th Medical Group - Kadena Air Base,kadena.tricare.mil
Defense Health Agency,19th Medical Group - Little Rock Air Force Base,littlerock.tricare.mil
Defense Health Agency,1st Special Operations Medical Group - Hurlburt Field,Hurlburt.tricare.mil
Defense Health Agency,20th Medical Group - Shaw Air Force Base,shaw.tricare.mil
