target_url,agency,bureau,branch,source_list_mil_1
aiaccelerator.af.mil,Air Force,DAF AI Accelerator,Executive,TRUE
dm.af.mil,Air Force,Davis-Monthan Air Force Base,Executive,TRUE
dimo.af.mil,Air Force,Defense Institute for Medical Operations,Executive,TRUE
dobbins.afrc.af.mil,Air Force,Dobbins Air Reserve Base,Executive,TRUE
dover.af.mil,Air Force,Dover Air Force Base,Executive,TRUE
dyess.af.mil,Air Force,Dyess Air Force Base,Executive,TRUE
eads.ang.af.mil,Air Force,Eastern Air Defense Sector,Executive,TRUE
edwards.af.mil,Air Force,Edwards Air Force Base,Executive,TRUE
eglin.af.mil,Air Force,Eglin Air Force Base,Executive,TRUE
eielson.af.mil,Air Force,Eielson Air Force Base,Executive,TRUE
ellsworth.af.mil,Air Force,Ellsworth Air Force Base,Executive,TRUE
warren.af.mil,Air Force,F.E. Warren Air Force Base,Executive,TRUE
fairchild.af.mil,Air Force,Fairchild Air Force Base,Executive,TRUE
goodfellow.af.mil,Air Force,Goodfellow Air Force Base,Executive,TRUE
gosere.af.mil,Air Force,GoSere,Executive,TRUE
grandforks.af.mil,Air Force,Grand Forks Air Force Base,Executive,TRUE
grissom.afrc.af.mil,Air Force,Grissom Air Reserve Base,Executive,TRUE
hanscom.af.mil,Air Force,Hanscom Air Force Base,Executive,TRUE
hqrio.afrc.af.mil,Air Force,Headquarters RIO,Executive,TRUE
hill.af.mil,Air Force,Hill Air Force Base,Executive,TRUE
holloman.af.mil,Air Force,Holloman Air Force Base,Executive,TRUE
homestead.afrc.af.mil,Air Force,Homestead Air Reserve Base,Executive,TRUE
hurlburt.af.mil,Air Force,Hurlburt Field,Executive,TRUE
incirlik.af.mil,Air Force,Incirlik Air Base,Executive,TRUE
safie.hq.af.mil,Air Force,"Installations, Environment & Logistics",Executive,TRUE
jagreporter.af.mil,Air Force,JAG Reporter,Executive,TRUE
jber.af.mil,Air Force,Joint Base Elmendorf-Richardson,Executive,TRUE
jbsa.mil,Air Force,Joint Base San Antonio,Executive,TRUE
kadena.af.mil,Air Force,Kadena Air Base,Executive,TRUE
keesler.af.mil,Air Force,Keesler Air Force Base,Executive,TRUE
kirtland.af.mil,Air Force,Kirtland Air Force Base,Executive,TRUE
kunsan.af.mil,Air Force,Kunsan Air Base,Executive,TRUE
laughlin.af.mil,Air Force,Laughlin Air Force Base,Executive,TRUE
littlerock.af.mil,Air Force,Little Rock Air Force Base,Executive,TRUE
luke.af.mil,Air Force,Luke Air Force Base,Executive,TRUE
macdill.af.mil,Air Force,MacDill Air Force Base,Executive,TRUE
malmstrom.af.mil,Air Force,Malmstrom Air Force Base,Executive,TRUE
march.afrc.af.mil,Air Force,March Air Reserve Base,Executive,TRUE
maxwell.af.mil,Air Force,Maxwell Air Force Base,Executive,TRUE
mcconnell.af.mil,Air Force,McConnell Air Force Base,Executive,TRUE
mars.af.mil,Air Force,Military Auxiliary Radio System,Executive,TRUE
minneapolis.afrc.af.mil,Air Force,Minneapolis-St Paul Air Reserve Station,Executive,TRUE
minot.af.mil,Air Force,Minot Air Force Base,Executive,TRUE
misawa.af.mil,Air Force,Misawa Air Base,Executive,TRUE
gulfportcrtc.ang.af.mil,Air Force,Mississippi Combat Readiness Center,Executive,TRUE
moody.af.mil,Air Force,Moody Air Force Base,Executive,TRUE
mountainhome.af.mil,Air Force,Mountain Home Air Force Base,Executive,TRUE
nasic.af.mil,Air Force,National Air and Space Intelligence Center,Executive,TRUE
airdomainintelligence.gov,Air Force,National Aviation Intelligence Integration Office - NAI2O,Executive,TRUE
nationalmuseum.af.mil,Air Force,National Museum of the United States Air Force,Executive,TRUE
nellis.af.mil,Air Force,Nellis Air Force Base,Executive,TRUE
njang.ang.af.mil,Air Force,New Jersey Air National Guard,Executive,TRUE
niagara.afrc.af.mil,Air Force,Niagara Falls Air Reserve Station,Executive,TRUE
offutt.af.mil,Air Force,Offutt Air Force Base,Executive,TRUE
osan.af.mil,Air Force,Osan Air Base,Executive,TRUE
pacaf.af.mil,Air Force,Pacific Air Forces,Executive,TRUE
pittsburgh.afrc.af.mil,Air Force,Pittsburgh IAP Air Reserve Station,Executive,TRUE
pope.af.mil,Air Force,Pope Field,Executive,TRUE
airman.af.mil,Air Force,Profession of Arms Center of Expertise,Executive,TRUE
ramstein.af.mil,Air Force,Ramstein Air Base,Executive,TRUE
robins.af.mil,Air Force,Robins Air Force Base,Executive,TRUE
lakenheath.af.mil,Air Force,Royal Air Force Lakenheath,Executive,TRUE
mildenhall.af.mil,Air Force,Royal Air Force Mildenhall,Executive,TRUE
safcn.af.mil,Air Force,SAF/CIO A6 Information Dominance and CIO,Executive,TRUE
scott.af.mil,Air Force,Scott Air Force Base,Executive,TRUE
afinspectorgeneral.af.mil,Air Force,Secretary of the Air Force Inspector General (SAF/IG),Executive,TRUE
seymourjohnson.af.mil,Air Force,Seymour Johnson Air Force Base,Executive,TRUE
shaw.af.mil,Air Force,Shaw Air Force Base,Executive,TRUE
sheppard.af.mil,Air Force,Sheppard Air Force Base,Executive,TRUE
safsq.hq.af.mil,Air Force,Space Acquisition and Integration,Executive,TRUE
spangdahlem.af.mil,Air Force,Spangdahlem Air Base,Executive,TRUE
specialwarfaretw.af.mil,Air Force,Special Warfare Training Wing,Executive,TRUE
mcchord.af.mil,Air Force,Team McChord,Executive,TRUE
tesseract.af.mil,Air Force,Tesseract AF (HAF/A4L),Executive,TRUE
afjag.af.mil,Air Force,The Judge Advocate General's Corps,Executive,TRUE
af.mil,Air Force,The Official Website for the U.S. Air Force,Executive,TRUE
tinker.af.mil,Air Force,Tinker Air Force Base,Executive,TRUE
torch.aetc.af.mil,Air Force,Torch Magazine,Executive,TRUE
travis.af.mil,Air Force,Travis Air Force Base,Executive,TRUE
tyndall.af.mil,Air Force,Tyndall Air Force Base,Executive,TRUE
bmtflightphotos.af.mil,Air Force,U.S. Air Force Basic Military Training Flight Photos,Executive,TRUE
doctrine.af.mil,Air Force,U.S. Air Force Doctrine,Executive,TRUE
expeditionarycenter.af.mil,Air Force,U.S. Air Force Expeditionary Center,Executive,TRUE
afcent.af.mil,Air Force,U.S. Air Forces Central Command,Executive,TRUE
usafe.af.mil,Air Force,U.S. Air Forces in Europe,Executive,TRUE
spaceforce.mil,Air Force,U.S. Space Force,Executive,TRUE
usafa.af.mil,Air Force,United States Air Force Academy,Executive,TRUE
honorguard.af.mil,Air Force,United States Air Force Honor Guard,Executive,TRUE
vance.af.mil,Air Force,Vance Air Force Base,Executive,TRUE
veterans-in-blue.af.mil,Air Force,Veterans In Blue,Executive,TRUE
volkfield.ang.af.mil,Air Force,Volk Field,Executive,TRUE
wavelength.af.mil,Air Force,"Wavelength Detachment 1, 850th Spectrum Warfare Group",Executive,TRUE
wads.ang.af.mil,Air Force,Western Air Force Defense Sector,Executive,TRUE
westover.afrc.af.mil,Air Force,Westover Air Reserve Base,Executive,TRUE
whiteman.af.mil,Air Force,Whiteman Air Force Base,Executive,TRUE
wpafb.af.mil,Air Force,Wright-Patterson Air Force Base,Executive,TRUE
yokota.af.mil,Air Force,Yokota Air Base,Executive,TRUE
youngstown.afrc.af.mil,Air Force,Youngstown Air Reserve Station,Executive,TRUE
11thairbornedivision.army.mil,Army,11th Airborne Division,Executive,TRUE
1tsc.army.mil,Army,1st Theater Sustainment Command,Executive,TRUE
20cbrne.army.mil,Army,20th CBRNE,Executive,TRUE
2id.korea.army.mil,Army,2nd Infantry Division (2ID) - Korea,Executive,TRUE
41fab.army.mil,Army,41st Field Artillery Brigade,Executive,TRUE
55comcam.army.mil,Army,55th Combat Camera,Executive,TRUE
innovation.army.mil,Army,75th Innovations Command,Executive,TRUE
medlinet.amedd.army.mil,Army,AMEDD Virtual Library,Executive,TRUE
awg.army.mil,Army,Army Asymmetric Warfare Group,Executive,TRUE
arcyber.army.mil,Army,Army Cyber Command,Executive,TRUE
cyber.army.mil,Army,Army Cyber Institute,Executive,TRUE
europeafrica.army.mil,Army,Army Europe,Executive,TRUE
10thaamdc.army.mil,Army,Army Europe 10th Air & Missile Defense,Executive,TRUE
12cab.army.mil,Army,Army Europe 12th Combat Aviation Brigade,Executive,TRUE
skysoldiers.army.mil,Army,Army Europe 173rd Infantry Brigade Combat Team,Executive,TRUE
19bcd.army.mil,Army,Army Europe 19th Battlefield Coordination Detachment,Executive,TRUE
21tsc.army.mil,Army,Army Europe 21st Theater Sustainment Command,Executive,TRUE
2cr.army.mil,Army,Army Europe 2nd Cavalry Regiment,Executive,TRUE
2sigbde.army.mil,Army,Army Europe 2nd Theater Signal Brigade,Executive,TRUE
afsbeurope.army.mil,Army,Army Europe 405th Army Field Support Brigade,Executive,TRUE
409csb.army.mil,Army,Army Europe 409th Contracting Support Brigade,Executive,TRUE
7atc.army.mil,Army,Army Europe 7th Army Training Comand,Executive,TRUE
band.eur.army.mil,Army,Army Europe Band & Chorus,Executive,TRUE
asafm.army.mil,Army,Army Financial Management and Comptroller,Executive,TRUE
afod.eur.army.mil,Army,Army Flight Operations Detachment,Executive,TRUE
ig.army.mil,Army,Army IG,Executive,TRUE
aepubs.eur.army.mil,Army,Army in Europe Library and Publishing,Executive,TRUE
amc.army.mil,Army,Army Material Command,Executive,TRUE
amlc.army.mil,Army,Army Medical Logistics Command,Executive,TRUE
mrdg.health.mil,Army,Army Medical Research Directorate-Georgia,Executive,TRUE
nrmc.amedd.army.mil,Army,Army North Atlantic Regional Medical Command,Executive,TRUE
usarpac.army.mil,Army,Army Pacific,Executive,TRUE
arcp.army.mil,Army,Army Recovery Care Program,Executive,TRUE
recruiting.army.mil,Army,Army Recruiting Command,Executive,TRUE
asb.army.mil,Army,Army Science Board,Executive,TRUE
aschq.army.mil,Army,Army Sustainment Command,Executive,TRUE
armyupress.army.mil,Army,Army University Press,Executive,TRUE
usapc.army.mil,Army,ASC - U.S. Army Petroleum Center (USAPC),Executive,TRUE
pscc.army.mil,Army,ASC Packaging Storage and Containerization Center,Executive,TRUE
bahc.nrmc.amedd.army.mil,Army,Barquist Army Health Clinic,Executive,TRUE
ccad.army.mil,Army,Corpus Christi Army Depot,Executive,TRUE
cyberdefensereview.army.mil,Army,Cyber Defense Review,Executive,TRUE
daaf-wx.army.mil,Army,Davison Army Airfield (DAAF),Executive,TRUE
first.army.mil,Army,First Army,Executive,TRUE
swcs.mil,Army,John F. Kennedy Special Warfare Center and School,Executive,TRUE
jblmdesignstandards.army.mil,Army,Joint Base Lewis McChord Design Standards,Executive,TRUE
jpeoaa.army.mil,Army,Joint Program Executive Office for Armaments & Ammunition (JPEO AA),Executive,TRUE
jpeocbrnd.osd.mil,Army,"Joint Program Executive Office for Chemical, Biological, Radiological and Nuclear Defense (JPEO)",Executive,TRUE
kirk.tricare.mil,Army,Kirk U.S. Army Medical Health Clinic,Executive,TRUE
letterkenny.army.mil,Army,Letterkenny Army Depot,Executive,TRUE
ncolcoe.army.mil,Army,NCO Leadership Center of Excellence,Executive,TRUE
ncoworldwide.army.mil,Army,NCO World Campus,Executive,TRUE
dasadec.army.mil,Army,Office of the Deputy Assistant Secretary of the Army for Defense Exports and Cooperation,Executive,TRUE
peosoldier.army.mil,Army,Program Executive Office Soldier,Executive,TRUE
psmagazine.army.mil,Army,PS Magazine,Executive,TRUE
phcp.health.mil,Army,Public Health Command - Pacific,Executive,TRUE
mrc-europe.army.mil,Army,Regional Health Command Europe,Executive,TRUE
rma.army.mil,Army,Rocky Mountain Arsenal,Executive,TRUE
goarmysof.army.mil,Army,Special Operations Recruiting Battalion SORB(A),Executive,TRUE
smtc.dodlive.mil,Army,Strength Maintenance Training Center,Executive,TRUE
tobyhanna.army.mil,Army,Tobyhanna Army Depot,Executive,TRUE
amcom.army.mil,Army,U.S. Army Aviation and Missile Command,Executive,TRUE
usarcent.army.mil,Army,U.S. Army Central,Executive,TRUE
avmc.army.mil,Army,U.S. Army Combat Capabilities Development: Aviation and Missile Center,Executive,TRUE
usafmcom.army.mil,Army,U.S. Army Financial Management Command,Executive,TRUE
usarj.army.mil,Army,U.S. Army Japan,Executive,TRUE
afrims.health.mil,Army,U.S. ARMY MEDICAL DIRECTORATE - ARMED FORCES RESEARCH INSTITUTE of MEDICAL SCIENCES (USAMD-AFRIMS),Executive,TRUE
usanato.army.mil,Army,U.S. Army Nato,Executive,TRUE
arnorth.army.mil,Army,U.S. Army North,Executive,TRUE
obtportal.army.mil,Army,U.S. Army Office of Business Transformation,Executive,TRUE
usar.army.mil,Army,U.S. Army Reserve,Executive,TRUE
armyreservewarriorcitizen.mil,Army,U.S. Army Reserve Strategic Communication/Warrior Citizen),Executive,TRUE
arsouth.army.mil,Army,U.S. Army South,Executive,TRUE
smdc.army.mil,Army,U.S. Army Space and Missile Defense Command,Executive,TRUE
mepcom.army.mil,Army,U.S. Military Entrance Processing Command,Executive,TRUE
wrair.army.mil,Army,Walter Reed Army Institute of Research (WRAIR),Executive,TRUE
poa.usace.army.mil,Army Corps of Engineers,Alaska District,Executive,TRUE
spa.usace.army.mil,Army Corps of Engineers,Albuquerque District,Executive,TRUE
agc.army.mil,Army Corps of Engineers,Army Geospatial Center,Executive,TRUE
nab.usace.army.mil,Army Corps of Engineers,Baltimore District,Executive,TRUE
lrb.usace.army.mil,Army Corps of Engineers,Buffalo District,Executive,TRUE
sac.usace.army.mil,Army Corps of Engineers,Charleston District,Executive,TRUE
lrc.usace.army.mil,Army Corps of Engineers,Chicago District,Executive,TRUE
lre.usace.army.mil,Army Corps of Engineers,Detroit District,Executive,TRUE
erdc.usace.army.mil,Army Corps of Engineers,ERDC,Executive,TRUE
nau.usace.army.mil,Army Corps of Engineers,Europe District,Executive,TRUE
pof.usace.army.mil,Army Corps of Engineers,Far East District,Executive,TRUE
swf.usace.army.mil,Army Corps of Engineers,Fort Worth District,Executive,TRUE
swg.usace.army.mil,Army Corps of Engineers,Galveston District,Executive,TRUE
lrd.usace.army.mil,Army Corps of Engineers,Great Lakes/Ohio River Division,Executive,TRUE
usace.army.mil,Army Corps of Engineers,Headquarters,Executive,TRUE
poh.usace.army.mil,Army Corps of Engineers,Honolulu District,Executive,TRUE
lrh.usace.army.mil,Army Corps of Engineers,Huntington District,Executive,TRUE
iwr.usace.army.mil,Army Corps of Engineers,Institute for Water Resources,Executive,TRUE
rmc.usace.army.mil,Army Corps of Engineers,"Institute for Water Resources, Risk Management Center",Executive,TRUE
saj.usace.army.mil,Army Corps of Engineers,Jacksonville District,Executive,TRUE
poj.usace.army.mil,Army Corps of Engineers,Japan Engineer District,Executive,TRUE
nwk.usace.army.mil,Army Corps of Engineers,Kansas City District,Executive,TRUE
swl.usace.army.mil,Army Corps of Engineers,Little Rock District,Executive,TRUE
spl.usace.army.mil,Army Corps of Engineers,Los Angeles District,Executive,TRUE
lrl.usace.army.mil,Army Corps of Engineers,Louisville District,Executive,TRUE
mvm.usace.army.mil,Army Corps of Engineers,Memphis District,Executive,TRUE
tam.usace.army.mil,Army Corps of Engineers,Middle East District,Executive,TRUE
mvd.usace.army.mil,Army Corps of Engineers,Mississippi Valley Division,Executive,TRUE
sam.usace.army.mil,Army Corps of Engineers,Mobile District,Executive,TRUE
lrn.usace.army.mil,Army Corps of Engineers,Nashville District,Executive,TRUE
nae.usace.army.mil,Army Corps of Engineers,New England District,Executive,TRUE
mvn.usace.army.mil,Army Corps of Engineers,New Orleans District,Executive,TRUE
nan.usace.army.mil,Army Corps of Engineers,New York District,Executive,TRUE
nao.usace.army.mil,Army Corps of Engineers,Norfolk District,Executive,TRUE
nad.usace.army.mil,Army Corps of Engineers,North Atlantic Division,Executive,TRUE
nwd.usace.army.mil,Army Corps of Engineers,Northwestern Division,Executive,TRUE
nwo.usace.army.mil,Army Corps of Engineers,Omaha District,Executive,TRUE
pod.usace.army.mil,Army Corps of Engineers,Pacific Ocean Division,Executive,TRUE
nap.usace.army.mil,Army Corps of Engineers,Philadelphia District,Executive,TRUE
lrp.usace.army.mil,Army Corps of Engineers,Pittsburgh District,Executive,TRUE
nwp.usace.army.mil,Army Corps of Engineers,Portland District,Executive,TRUE
mvr.usace.army.mil,Army Corps of Engineers,Rock Island District,Executive,TRUE
spk.usace.army.mil,Army Corps of Engineers,Sacramento District,Executive,TRUE
spn.usace.army.mil,Army Corps of Engineers,San Francisco District,Executive,TRUE
sas.usace.army.mil,Army Corps of Engineers,Savannah District,Executive,TRUE
nws.usace.army.mil,Army Corps of Engineers,Seattle District,Executive,TRUE
sad.usace.army.mil,Army Corps of Engineers,South Atlantic Division,Executive,TRUE
spd.usace.army.mil,Army Corps of Engineers,South Pacific Division,Executive,TRUE
swd.usace.army.mil,Army Corps of Engineers,Southwestern Division,Executive,TRUE
mvs.usace.army.mil,Army Corps of Engineers,St. Louis District,Executive,TRUE
mvp.usace.army.mil,Army Corps of Engineers,St. Paul District,Executive,TRUE
tad.usace.army.mil,Army Corps of Engineers,Transatlantic Division,Executive,TRUE
swt.usace.army.mil,Army Corps of Engineers,Tulsa District,Executive,TRUE
hnc.usace.army.mil,Army Corps of Engineers,"U.S. Army Engineering and Support Center, Huntsville",Executive,TRUE
publications.usace.army.mil,Army Corps of Engineers,USACE Publications,Executive,TRUE
mvk.usace.army.mil,Army Corps of Engineers,Vicksburg District,Executive,TRUE
nww.usace.army.mil,Army Corps of Engineers,Walla Walla District,Executive,TRUE
saw.usace.army.mil,Army Corps of Engineers,Wilmington District,Executive,TRUE
10thmarines.marines.mil,Marine Corps,10th Marine Regiment,Executive,TRUE
11thmeu.marines.mil,Marine Corps,11th Marine Expeditionary Unit,Executive,TRUE
12thmcd.marines.mil,Marine Corps,12th Marine Corps District,Executive,TRUE
13thmeu.marines.mil,Marine Corps,13th Marine Expeditionary Unit,Executive,TRUE
15thmeu.marines.mil,Marine Corps,15th Marine Expeditionary Unit,Executive,TRUE
1stmaw.marines.mil,Marine Corps,1st Marine Aircraft Wing,Executive,TRUE
1stmcd.marines.mil,Marine Corps,1st Marine Corps District,Executive,TRUE
1stmardiv.marines.mil,Marine Corps,1st Marine Division,Executive,TRUE
1stmlg.marines.mil,Marine Corps,1st Marine Logistics Group,Executive,TRUE
22ndmeu.marines.mil,Marine Corps,22nd Marine Expeditionary Unit,Executive,TRUE
26thmeu.marines.mil,Marine Corps,26th Marine Expeditionary Unit,Executive,TRUE
2ndmaw.marines.mil,Marine Corps,2nd Marine Aircraft Wing,Executive,TRUE
2ndmardiv.marines.mil,Marine Corps,2nd Marine Division,Executive,TRUE
2ndmeb.marines.mil,Marine Corps,2nd Marine Expeditionary Brigade,Executive,TRUE
2ndmlg.marines.mil,Marine Corps,2nd Marine Logistics Group,Executive,TRUE
2ndmarines.marines.mil,Marine Corps,2nd Marine Regiment,Executive,TRUE
31stmeu.marines.mil,Marine Corps,31st Marine Expeditionary Unit,Executive,TRUE
3rdmaw.marines.mil,Marine Corps,3rd Marine Aircraft Wing,Executive,TRUE
3rdmardiv.marines.mil,Marine Corps,3rd Marine Division,Executive,TRUE
3rdmeb.marines.mil,Marine Corps,3rd Marine Expeditionary Brigade,Executive,TRUE
3rdmlg.marines.mil,Marine Corps,3rd Marine Logistics Group,Executive,TRUE
4thmcd.marines.mil,Marine Corps,4th Marine Corps District,Executive,TRUE
tf515.marines.mil,Marine Corps,"5th Marine Expeditionary Brigade (Command Element, Marine Forces Central Command (Forward) )'",Executive,TRUE
6thmcd.marines.mil,Marine Corps,6th Marine Corps District,Executive,TRUE
6thmarines.marines.mil,Marine Corps,6th Marine Regiment,Executive,TRUE
8thmcd.marines.mil,Marine Corps,8th Marine Corps District,Executive,TRUE
8thmarines.marines.mil,Marine Corps,8th Marine Regiment,Executive,TRUE
9thmcd.marines.mil,Marine Corps,9th Marine Corps District,Executive,TRUE
ar.marines.mil,Marine Corps,Administration and Resource Management,Executive,TRUE
acmc.marines.mil,Marine Corps,Assistant Commandant of the Marine Corps,Executive,TRUE
cbirf.marines.mil,Marine Corps,Chemical Biological Incident Response Force,Executive,TRUE
fuji.marines.mil,Marine Corps,Combined Arms Training Center Camp Fuji,Executive,TRUE
cmc.marines.mil,Marine Corps,Commandant of the Marine Corps,Executive,TRUE
cd.marines.mil,Marine Corps,Communication Directorate,Executive,TRUE
marforres.marines.mil,Marine Corps,Community of Interest,Executive,TRUE
hqmc.marines.mil,Marine Corps,Deployment Processing Command-East,Executive,TRUE
trngcmd.marines.mil,Marine Corps,Field Medical Training Battalion-East,Executive,TRUE
hrom.marines.mil,Marine Corps,HUMAN RESOURCES AND ORGANIZATIONAL MANAGEMENT BRANCH (ARH),Executive,TRUE
imef.marines.mil,Marine Corps,I Marine Expeditionary Force,Executive,TRUE
iimef.marines.mil,Marine Corps,II Marine Expeditionary Force,Executive,TRUE
iiimef.marines.mil,Marine Corps,III Marine Expeditionary Force,Executive,TRUE
igmc.marines.mil,Marine Corps,Inspector General of the Marine Corps,Executive,TRUE
iandl.marines.mil,Marine Corps,Installations and Logistics,Executive,TRUE
lawenforcement.marines.mil,Marine Corps,Law Enforcement,Executive,TRUE
macg28.marines.mil,Marine Corps,Marine Air Control Group 28,Executive,TRUE
mag14.marines.mil,Marine Corps,Marine Aircraft Group 14,Executive,TRUE
mag26.marines.mil,Marine Corps,Marine Aircraft Group 26,Executive,TRUE
mag29.marines.mil,Marine Corps,Marine Aircraft Group 29,Executive,TRUE
mag31.marines.mil,Marine Corps,Marine Aircraft Group 31,Executive,TRUE
aviation.marines.mil,Marine Corps,Marine Aviation,Executive,TRUE
barracks.marines.mil,Marine Corps,Marine Barracks,Executive,TRUE
quantico.marines.mil,Marine Corps,Marine Corps Air Facility Quantico,Executive,TRUE
29palms.marines.mil,Marine Corps,Marine Corps Air Ground Combat Center Twenty-nine Palms,Executive,TRUE
beaufort.marines.mil,Marine Corps,Marine Corps Air Station Beaufort,Executive,TRUE
mcaspendleton.marines.mil,Marine Corps,Marine Corps Air Station Camp Pendleton,Executive,TRUE
cherrypoint.marines.mil,Marine Corps,Marine Corps Air Station Cherry Point,Executive,TRUE
mcasfutenma.marines.mil,Marine Corps,Marine Corps Air Station Futenma,Executive,TRUE
mcasiwakuni.marines.mil,Marine Corps,Marine Corps Air Station Iwakuni,Executive,TRUE
mcasiwakunijp.marines.mil,Marine Corps,Marine Corps Air Station Iwakuni-Japanese,Executive,TRUE
miramar.marines.mil,Marine Corps,Marine Corps Air Station Miramar,Executive,TRUE
miramar-ems.marines.mil,Marine Corps,Marine Corps Air Station Miramar-EMS,Executive,TRUE
newriver.marines.mil,Marine Corps,Marine Corps Air Station New River,Executive,TRUE
mcasyuma.marines.mil,Marine Corps,Marine Corps Air Station Yuma,Executive,TRUE
mcbblaz.marines.mil,Marine Corps,Marine Corps Base Camp Blaz,Executive,TRUE
mcbbutler.marines.mil,Marine Corps,Marine Corps Base Camp Butler,Executive,TRUE
lejeune.marines.mil,Marine Corps,Marine Corps Base Camp Lejeune,Executive,TRUE
pendleton.marines.mil,Marine Corps,Marine Corps Base Camp Pendleton,Executive,TRUE
mcbhawaii.marines.mil,Marine Corps,Marine Corps Base Hawaii,Executive,TRUE
bic.marines.mil,Marine Corps,Marine Corps Blount Island Command,Executive,TRUE
cdi.marines.mil,Marine Corps,Marine Corps Combat Development Command,Executive,TRUE
marcent.marines.mil,Marine Corps,Marine Corps Forces Central Command,Executive,TRUE
marforeur.marines.mil,Marine Corps,Marine Corps Forces Europe/Africa,Executive,TRUE
marforsouth.marines.mil,Marine Corps,Marine Corps Forces South,Executive,TRUE
marsoc.marines.mil,Marine Corps,Marine Corps Forces Special Operations Command,Executive,TRUE
mcicom.marines.mil,Marine Corps,"Marine Corps Installations Command, MCICOM",Executive,TRUE
mcieast.marines.mil,Marine Corps,Marine Corps Installations East,Executive,TRUE
mcipac.marines.mil,Marine Corps,Marine Corps Installations Pacific,Executive,TRUE
japan.marines.mil,Marine Corps,Marine Corps Installations Pacific (MCIPAC) Communication Strategy and Operations Official Japanese Website,Executive,TRUE
mciwest.marines.mil,Marine Corps,Marine Corps Installations West,Executive,TRUE
mcjrotc.marines.mil,Marine Corps,Marine Corps Junior ROTC Training and Education Command,Executive,TRUE
albany.marines.mil,Marine Corps,Marine Corps Logistics Base Albany,Executive,TRUE
mclbbarstow.marines.mil,Marine Corps,Marine Corps Logistics Base Barstow,Executive,TRUE
logcom.marines.mil,Marine Corps,Marine Corps Logistics Command,Executive,TRUE
mcrdpi.marines.mil,Marine Corps,Marine Corps Recruit Depot Parris Island,Executive,TRUE
mcrdsd.marines.mil,Marine Corps,"Marine Corps Recruit Depot, San Diego",Executive,TRUE
mcrc.marines.mil,Marine Corps,Marine Corps Recruiting Command,Executive,TRUE
mcsfr.marines.mil,Marine Corps,Marine Corps Security Force Regiment,Executive,TRUE
mcsf-nola.marines.mil,Marine Corps,Marine Corps Support Facility New Orleans,Executive,TRUE
marcorsyscom.marines.mil,Marine Corps,Marine Corps Systems Command,Executive,TRUE
tecom.marines.mil,Marine Corps,Marine Corps Training and Education Command,Executive,TRUE
mcwl.marines.mil,Marine Corps,Marine Corps Warfighting Laboratory,Executive,TRUE
marforcom.marines.mil,Marine Corps,Marine Forces Command,Executive,TRUE
music.marines.mil,Marine Corps,Marine Music,Executive,TRUE
okinawa.marines.mil,Marine Corps,Okinawa Marines,Executive,TRUE
peols.marines.mil,Marine Corps,Program Executive Officer Land Systems,Executive,TRUE
ready.marines.mil,Marine Corps,Ready Marine Corps,Executive,TRUE
safety.marines.mil,Marine Corps,Safety,Executive,TRUE
smmc.marines.mil,Marine Corps,Sergeant Major of the Marine Corps,Executive,TRUE
marines.mil,Marine Corps,The Official United States Marine Corps Public Website,Executive,TRUE
marineband.marines.mil,Marine Corps,The United States Marine Band,Executive,TRUE
drumcorps.marines.mil,Marine Corps,The United States Marine Drum & Bugle Corps,Executive,TRUE
comcam.marines.mil,Marine Corps,U.S. Marine Corps Combat Camera,Executive,TRUE
fitness.marines.mil,Marine Corps,U.S. Marine Corps Fitness,Executive,TRUE
marforcyber.marines.mil,Marine Corps,U.S. Marine Corps Forces Cyberspace Command,Executive,TRUE
marfork.marines.mil,Marine Corps,"U.S. Marine Corps Forces, Korea",Executive,TRUE
marforpac.marines.mil,Marine Corps,"U.S. Marine Corps Forces, Pacific",Executive,TRUE
usmcu.edu,Marine Corps,U.S. Marine Corps University,Executive,TRUE
woundedwarrior.marines.mil,Marine Corps,Wounded Warrior Regiment,Executive,TRUE
24thmeu.marines.mil,Marine Corps,www.24thmeu.marines.mil,Executive,TRUE
allhands.navy.mil,Navy,All Hands Magazine of the U.S. Navy,Executive,TRUE
amphib7flt.navy.mil,Navy,Amphibious Force 7th Fleet,Executive,TRUE
bracpmo.navy.mil,Navy,Base Realignment and Closure (BRAC) Program Management Office,Executive,TRUE
mynavyhr.navy.mil,Navy,BUPERS/Navy Personnel Command,Executive,TRUE
med.navy.mil,Navy,Bureau of Medicine & Surgery,Executive,TRUE
cvw5.navy.mil,Navy,Carrier Air Wing 5 (CVW-5),Executive,TRUE
ffr.cnic.navy.mil,Navy,CNIC Fleet and Family Readiness,Executive,TRUE
ccsg15.navy.mil,Navy,Command Carrier Strike Group Fifteen,Executive,TRUE
csp.navy.mil,Navy,Command Submarine Force Pacific Fleet,Executive,TRUE
ndw.cnic.navy.mil,Navy,"Commandant, Naval District Washington",Executive,TRUE
clwp.navy.mil,Navy,"Commander Logistics Group, Western Pacific",Executive,TRUE
c7f.navy.mil,Navy,Commander U.S. 7th Fleet,Executive,TRUE
csg4.usff.navy.mil,Navy,"Commander, Carrier Strike Group 4",Executive,TRUE
jrm.cnic.navy.mil,Navy,"Commander, Joint Region Marianas",Executive,TRUE
navifor.usff.navy.mil,Navy,"Commander, Naval Information Forces",Executive,TRUE
